QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
BXMSPAMF|BXMSDMF0201|5|Business Central uses SVN as the asset repository technology|||TRUE|||0|0|||
BXMSPAMF|BXMSDMF0201|5|Business Central uses SVN as the asset repository technology|||FALSE|||1|100|||
BXMSPAMF|BXMSDMF0202|5|Business Central uses GIT as the asset repository technology|||TRUE|||1|100|||
BXMSPAMF|BXMSDMF0202|5|Business Central uses GIT as the asset repository technology|||FALSE|||0|0|||
BXMSPAMF|BXMSDMF0203|1|Which technology is used as Artifact Repository in Red Hat Process Automation Manager?|||Gradle|||0|0|||
BXMSPAMF|BXMSDMF0203|1|Which technology is used as Artifact Repository in Red Hat Process Automation Manager?|||Bower|||0|0|||
BXMSPAMF|BXMSDMF0203|1|Which technology is used as Artifact Repository in Red Hat Process Automation Manager?|||Maven|||1|100|||
BXMSPAMF|BXMSDMF0203|1|Which technology is used as Artifact Repository in Red Hat Process Automation Manager?|||Ant|||0|0|||
BXMSPAMF|BXMSDMF0204|1|The given name to the package created by a Business Central project that is persisted in the artifact repository|||Executable|||0|0|||
BXMSPAMF|BXMSDMF0204|1|The given name to the package created by a Business Central project that is persisted in the artifact repository|||kjar|||1|100|||
BXMSPAMF|BXMSDMF0204|1|The given name to the package created by a Business Central project that is persisted in the artifact repository|||Library|||0|0|||
BXMSPAMF|BXMSDMF0204|1|The given name to the package created by a Business Central project that is persisted in the artifact repository|||war|||0|0|||
BXMSPAMF|BXMSDMF0205|1|Is an optional layer between Process Servers to centralize their monitoring and operation|||Business Central|||0|0|||
BXMSPAMF|BXMSDMF0205|1|Is an optional layer between Process Servers to centralize their monitoring and operation|||Execution Server|||0|0|||
BXMSPAMF|BXMSDMF0205|1|Is an optional layer between Process Servers to centralize their monitoring and operation|||Smart Router|||1|100|||
BXMSPAMF|BXMSDMF0205|1|Is an optional layer between Process Servers to centralize their monitoring and operation|||KIE-Server|||0|0|||
BXMSPAMF|BXMSDMF0206|5|In Business Central, an asset repository can contain more than one project|||TRUE|||0|0|||
BXMSPAMF|BXMSDMF0206|5|In Business Central, an asset repository can contain more than one project|||FALSE|||1|100|||
BXMSPAMF|BXMSDMF0207|1|The following are the interaction protocols with the GIT repository (Asset Repository)|||SSH and GIT|||1|100|||
BXMSPAMF|BXMSDMF0207|1|The following are the interaction protocols with the GIT repository (Asset Repository)|||SSH and HTTPS|||0|0|||
BXMSPAMF|BXMSDMF0207|1|The following are the interaction protocols with the GIT repository (Asset Repository)|||SFTP and SSH|||0|0|||
BXMSPAMF|BXMSDMF0207|1|The following are the interaction protocols with the GIT repository (Asset Repository)|||SFTP and HTTPS|||0|0|||
BXMSPAMF|BXMSDMF0208|1|In Business Central, projects are grouped in:|||Organizations|||0|0|||
BXMSPAMF|BXMSDMF0208|1|In Business Central, projects are grouped in:|||Repositories|||0|0|||
BXMSPAMF|BXMSDMF0208|1|In Business Central, projects are grouped in:|||Groups|||0|0|||
BXMSPAMF|BXMSDMF0208|1|In Business Central, projects are grouped in:|||Spaces|||1|100|||
BXMSPAMF|BXMSDMF0209|5|In a managed mode topology: Business Central works as a controller and is in charge of communicating deployment units to the KIE-Server|||TRUE|||1|100|||
BXMSPAMF|BXMSDMF0209|5|In a managed mode topology: Business Central works as a controller and is in charge of communicating deployment units to the KIE-Server|||FALSE|||0|0|||
BXMSPAMF|BXMSDMF0210|5|In a unmanaged mode topology: Business Central works as a controller and is in charge of communicating deployment units to the KIE-Server|||TRUE|||0|0|||
BXMSPAMF|BXMSDMF0210|5|In a unmanaged mode topology: Business Central works as a controller and is in charge of communicating deployment units to the KIE-Server|||FALSE|||1|100|||
