QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
BXMSPAMF|BXMSPAMF0701|5|When installing RHPAM in embedded mode, an application server is required.|||TRUE|||0|0|||
BXMSPAMF|BXMSPAMF0701|5|When installing RHPAM in embedded mode, an application server is required.|||FALSE|||1|100|||
BXMSPAMF|BXMSPAMF0702|5|RHPAM can be installed in a Red Hat Enterprise Application Server.|||TRUE|||1|100|||
BXMSPAMF|BXMSPAMF0702|5|RHPAM can be installed in a Red Hat Enterprise Application Server.|||FALSE|||0|0|||
BXMSPAMF|BXMSPAMF0703|5|There are RHPAM templates available for OpenShift.|||TRUE|||1|100|||
BXMSPAMF|BXMSPAMF0703|5|There are RHPAM templates available for OpenShift.|||FALSE|||0|0|||
BXMSPAMF|BXMSPAMF0704|5|The OpenShift authoring templates for RHPAM include a Red Hat SSO container for authentication.|||TRUE|||0|0|||
BXMSPAMF|BXMSPAMF0704|5|The OpenShift authoring templates for RHPAM include a Red Hat SSO container for authentication.|||FALSE|||1|100|||
BXMSPAMF|BXMSPAMF0705|5|The OpenShift immutable templates for RHPAM allow controlled deployments in the KIE servers.|||TRUE|||0|0|||
BXMSPAMF|BXMSPAMF0705|5|The OpenShift immutable templates for RHPAM allow controlled deployments in the KIE servers.|||FALSE|||1|100|||
BXMSPAMF|BXMSPAMF0706|5|The OpenShift immutable templates for RHPAM allow S2I deployments for the KIE servers.|||TRUE|||1|100|||
BXMSPAMF|BXMSPAMF0706|5|The OpenShift immutable templates for RHPAM allow S2I deployments for the KIE servers.|||FALSE|||0|0|||
